id,title,category,language,polarity,tone,trend_score,priority_score,timestamp
https://www.bbc.co.uk/news/articles/c986w38r4j5o#0,Europe wrestles with impact of historic regional gains for Germany's AfD,technology,en,positive,joyful,0.88,0.8396,2026-09-07T04:07:23+00:00
https://www.bbc.co.uk/news/articles/cx2z37qj4wno#1,China to pump $54bn into state banks and insurers to boost economy,business,en,neutral,calm,1.0,0.8006,2026-09-07T02:26:12+00:00
https://www.bbc.co.uk/news/articles/c6248nvqy8po#0,Zelensky says he expects war to continue into winter after talks with US envoys,general,en,positive,joyful,0.85,0.7967,2026-09-06T20:41:58+00:00
https://www.bbc.co.uk/news/articles/c0e3p1j7n3ro#0,Five dead after Amazon cargo plane crashes at Miami airport,technology,en,neutral,calm,0.88,0.7716,2026-09-07T06:59:57+00:00
https://www.bbc.co.uk/news/articles/cy4zejgz3z9o#0,Germany's far-right AfD hails big victory in east  but falls short of majority,technology,en,neutral,calm,0.88,0.7686,2026-09-07T06:17:08+00:00
https://www.bbc.co.uk/news/articles/czezydp4l97o#0,Indonesia volcano eruption leaves 270 000 stranded as airports extend closure,technology,en,neutral,calm,0.88,0.7684,2026-09-07T06:13:17+00:00
https://www.bbc.co.uk/news/articles/cn9wyvxn95vo#1,Australians will be able to switch off social media algorithms under planned legislation,general,en,neutral,calm,0.85,0.7457,2026-09-07T03:40:09+00:00
https://www.bbc.co.uk/news/articles/cwyz74xn8q8o#0,Austria's Islamic headscarf ban in force as under-14s go back to school,general,en,neutral,calm,0.85,0.7306,2026-09-07T00:01:32+00:00
https://www.bbc.co.uk/news/articles/c980j5m8mpro#0,Peace talks rich in symbolism but fundamental differences between Russia and Ukraine remain,technology,en,neutral,calm,0.88,0.7294,2026-09-06T20:52:12+00:00
https://www.bbc.co.uk/news/articles/c8r6ezx1jmro#1,Six dead and more feared trapped in collapsed building in Delhi,general,en,negative,calm,0.85,0.712,2026-09-07T05:10:18+00:00
